team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2023-2024/Augsburg-Stats,Augsburg,29,43.9,34.0,18130,2132,6226,7678,4413,795,18123,531,235,44.3,255,48.0,9496,50630,24792,462,313,91,533,236,10394,1122,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
054efa67,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats,Bayern Munich,30,61.3,34.0,26644,2111,7127,12412,7367,1214,26639,907,481,53.0,374,41.2,16452,93322,49960,944,704,276,468,357,19847,1926,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
b42c6323,/en/squads/b42c6323/2023-2024/Bochum-Stats,Bochum,25,46.6,34.0,18361,2175,5905,8082,4546,787,18357,436,186,42.7,209,47.9,8480,42524,20687,400,292,91,494,280,9653,1140,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
6a6967fc,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats,Darmstadt 98,32,45.7,34.0,19009,2407,7114,8147,3897,566,19006,440,192,43.6,220,50.0,9943,51709,26088,437,310,99,470,230,11700,1073,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
add600ae,/en/squads/add600ae/2023-2024/Dortmund-Stats,Dortmund,32,57.8,34.0,24314,2558,8081,11082,5366,901,24308,712,320,44.9,312,43.8,14643,79399,41049,770,565,229,532,329,17002,1436,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
f0ac8ee6,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats,Eint Frankfurt,34,52.1,34.0,22762,2453,7846,10620,4523,815,22759,640,281,43.9,326,50.9,13004,64135,31792,574,391,176,523,298,14898,1294,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
a486e511,/en/squads/a486e511/2023-2024/Freiburg-Stats,Freiburg,25,46.6,34.0,19706,2362,6698,9055,4130,653,19697,518,221,42.7,237,45.8,10673,57954,28611,468,383,94,452,240,12176,1189,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
32f3ee20,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats,Gladbach,27,46.8,34.0,20954,2559,7900,9058,4189,720,20948,550,237,43.1,261,47.5,12077,60157,30940,598,435,153,429,320,13427,1217,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
18d9d2a7,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats,Heidenheim,22,42.5,34.0,18405,2361,6987,7570,4058,637,18402,530,223,42.1,266,50.2,9120,52754,26313,510,361,90,549,279,10152,976,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
033ea6b8,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats,Hoffenheim,30,49.5,34.0,20983,2561,6920,9475,4742,752,20977,542,220,40.6,267,49.3,11630,59332,30284,538,401,144,477,241,13325,1351,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
bc357bf7,/en/squads/bc357bf7/2023-2024/Koln-Stats,Köln,26,46.5,34.0,19356,2274,7028,8252,4318,668,19350,524,246,46.9,236,45.0,10380,57764,29156,618,439,141,472,292,11521,1081,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
c7a9f859,/en/squads/c7a9f859/2023-2024/Bayer-Leverkusen-Stats,Leverkusen,24,61.8,34.0,27830,1703,5847,14080,8122,1168,27822,727,348,47.9,328,45.1,16677,86657,46901,888,676,242,483,333,21041,1979,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
a224b06a,/en/squads/a224b06a/2023-2024/Mainz-05-Stats,Mainz 05,30,46.1,34.0,19212,2023,6417,8450,4536,807,19207,601,269,44.8,269,44.8,9023,46790,22024,480,314,135,537,285,10854,1155,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
acbb6a5b,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats,RB Leipzig,26,55.3,34.0,23320,1985,6900,11365,5276,918,23313,633,322,50.9,238,37.6,14158,71290,37973,714,543,177,488,332,16170,1530,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
598bc722,/en/squads/598bc722/2023-2024/Stuttgart-Stats,Stuttgart,27,59.9,34.0,26204,2322,7298,13251,5858,898,26196,673,334,49.6,279,41.5,15113,75798,37881,693,545,191,561,329,18993,1602,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
7a41008f,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats,Union Berlin,30,42.9,34.0,18929,2344,7065,7881,4179,687,18923,506,217,42.9,260,51.4,9123,47015,23793,389,297,112,549,293,10894,1132,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
62add3bf,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats,Werder Bremen,30,46.8,34.0,20347,2574,7617,9015,3923,672,20341,556,253,45.5,262,47.1,11241,58514,29365,492,367,108,541,263,12715,1163,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
4eaa11d7,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats,Wolfsburg,28,48.0,34.0,20363,2187,6900,9104,4524,655,20360,481,202,42.0,235,48.9,11147,54291,25908,441,329,105,521,261,12976,1226,20,2023-2024,a4eb04ec-61a3-4939-8bb6-bc89819ff660
